0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:57 +0530] "GET /WeChatFrontend/js/sockjs/sockjs.js HTTP/1.1" 200 77234
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:57 +0530] "GET /WeChatFrontend/js/stomp/dist/stomp.js HTTP/1.1" 200 11823
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:57 +0530] "GET /WeChatFrontend/controller/chatcontroller.js HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:57 +0530] "GET /WeChatFrontend/service/chatservice.js HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:58 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:59 +0530] "GET /WeChatFrontend/views/viewprofile.html HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:59 +0530] "GET /WeChatFrontend/images/55.jpg HTTP/1.1" 200 91665
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:00:18 +0530] "GET /WeChatFrontend/views/login.html HTTP/1.1" 200 2577
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:00:28 +0530] "POST /WeChatBackend/login HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:00:28 +0530] "GET /WeChatFrontend/views/home.html HTTP/1.1" 200 5923
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:00:28 +0530] "GET /WeChatFrontend/images/palmtop.png HTTP/1.1" 200 109261
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:00:28 +0530] "GET /WeChatFrontend/images/chat1.jpg HTTP/1.1" 200 140449
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:00:28 +0530] "GET /WeChatFrontend/images/livechat.png HTTP/1.1" 200 376969
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:00:28 +0530] "GET /WeChatFrontend/css/footer.css HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:00:29 +0530] "GET /WeChatBackend/getimage/Safna HTTP/1.1" 200 271658
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:01:16 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:01:17 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:01:17 +0530] "GET /WeChatBackend/getimage/Safna HTTP/1.1" 200 271658
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:01:43 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:01:43 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:01:44 +0530] "GET /WeChatBackend/getimage/Safna HTTP/1.1" 200 271658
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:02:49 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:02:49 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:02:49 +0530] "GET /WeChatBackend/getimage/Safna HTTP/1.1" 200 271658
