0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:21:00 +0530] "GET /WeChatFrontend/images/livechat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:21:00 +0530] "GET /WeChatFrontend/images/chat1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:21:04 +0530] "GET /WeChatBackend/getsuggestedusers HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:21:04 +0530] "GET /WeChatBackend/getpendingrequests HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:21:10 +0530] "GET /WeChatBackend/getpendingrequests HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:21:10 +0530] "GET /WeChatBackend/getsuggestedusers HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:21:16 +0530] "GET /WeChatBackend/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:21:27 +0530] "POST /WeChatBackend/login HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:21:27 +0530] "GET /WeChatBackend/getimage/lakshmi HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:21:31 +0530] "GET /WeChatBackend/getpendingrequests HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:21:31 +0530] "GET /WeChatBackend/getsuggestedusers HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:22:36 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:22:36 +0530] "GET /WeChatFrontend/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:22:36 +0530] "GET /WeChatFrontend/controller/blogpostdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:22:36 +0530] "GET /WeChatFrontend/controller/blogpostcontroller.js HTTP/1.1" 304 -
